RI, Na, Mg, Al, Si, K, Ca, Ba, Fe,Class
151588824,1287795,343036,140066,73282,0.68931,804468,0,0.1224, negative
15176423,129777,353812,121127,73002,0.65205,852888,0,0, negative
152212996,1420795,382099,0.46976,71.77,0.11178,95726,0,0, negative
152222108,1321045,37716,0.79076,719884,0.13041,102452,0,0, negative
151755118,13.39,365935,11888,727892,0.57132,827064,0,0.0561, negative
152099096,1368925,3592,112139,719604,0.08694,940044,0,0, negative
151755118,131506,360996,105077,732372,0.57132,823836,0,0, negative
151910022,1390205,373119,117917,721228,0.0621,889472,0,0, negative
151793844,1321045,347975,141029,72638,0.58995,843204,0,0, negative
151898632,1358285,334954,123053,72078,0.58995,890548,0,0, negative
151215232,12991,347077,112139,729796,0.621,834596,0,0.1581, negative
151976084,1380895,357853,132041,717196,0.11799,866876,0.68985,0, negative
151761952,1388875,360098,135893,727276,0.47817,782948,0,0, negative
151784732,1267845,366833,115991,731084,0.60858,870104,0,0, negative
151720948,133767,35022,115028,728508,0.50301,843204,0,0, negative
151746006,1283805,35022,114065,732708,0.5589,85504,0,0, negative
152210718,1372915,383895,0.72014,717588,0.16767,974476,0,0, negative
151823458,128713,347975,129152,729516,0.60237,843204,0,0, negative
151919134,14417,357853,136856,72078,0.5589,830292,0,0, negative
151761952,1279815,365935,126905,730076,0.60237,856116,0,0, negative
151750562,1281145,356955,13493,730188,0.621,859344,0,0, negative
151782454,1269175,353812,133967,729516,0.57132,875484,0,0, negative
151793844,127915,35022,112139,73.03,0.63963,87656,0,0, negative
151837126,131373,284217,127868,728508,0.55269,906688,0,0, negative
15215149,1305085,365037,0.87101,72218,0.19251,985236,0,0.0867, negative
151595658,127915,360996,161894,729684,0.63963,80662,0,0.1326, negative
151734616,130176,353812,168956,727276,0.54027,84428,0,0.0357, negative
15177562,1285135,347975,123053,729684,0.60858,856116,0.09135,0.1122, negative
151777898,1321045,338995,133004,727612,0.58995,859344,0,0, negative
151755118,134831,374017,116954,729908,0.58995,803392,0,0, negative
15215149,1305085,365037,0.87101,723188,0.19251,985236,0,0.0867, negative
151743728,132969,360098,114065,730916,0.57753,81738,0,0, negative
1515706,1271835,346179,156116,73198,0.67068,808772,0,0.1224, negative
151720948,128713,347975,133004,730412,0.5589,843204,0,0, negative
151910022,1388875,352914,132041,718092,0.50922,877636,0.11025,0, negative
151869018,131905,337199,117917,72722,0.57132,883016,0,0.0816, negative
152171992,135097,38614,0.88064,717924,0.22977,954032,0,0.0561, negative
151755118,1299765,360098,135893,729908,0.57132,839976,0,0.0561, negative
151761952,1281145,353812,123053,732372,0.57753,8389,0,0, negative
151784732,137745,348873,127868,72862,0.60237,848584,0,0, negative
15175284,1257205,347077,13814,733884,0.60237,85504,0,0.0306, negative
15178701,1273165,343036,11888,729516,0.621,875484,0,0.153, negative
152320062,137225,372221,0.51149,717476,0.08694,10568,0,0.0816, negative
15229956,133102,357853,0.81965,719884,0.11799,1017516,0,0.0153, negative
152101374,136427,4.49,109892,717812,0.0621,875484,0,0, negative
151750562,128181,355159,149054,72.75,0.54027,851812,0,0.0969, negative
152212996,1420795,382099,0.46976,71.77,0.11178,95726,0,0, negative
152666318,139885,369976,0.71051,715684,0.01863,982008,0,0.051, negative
151925968,1319715,333158,127868,72358,0.60237,91422,0,0.0561, negative
152171992,134831,374017,0.8999,720108,0.18009,960488,0,0.0357, negative
151618438,1352965,355159,153869,729908,0.39123,777568,0,0, negative
151761952,1261195,3592,131078,732876,0.57753,84966,0,0, negative
151768786,1255875,352016,142955,731476,0.57132,853964,0,0, negative
151796122,127383,347975,13493,729572,0.63963,867952,0,0, negative
151807512,134299,286911,11888,728396,0.55269,90346,0,0, negative
15215149,1311735,357853,0.8999,722012,0.22977,982008,0,0.0816, negative
15174145,132703,361894,124016,730804,0.55269,80662,0,0, negative
151748284,12858,356057,126905,732092,0.54027,837824,0,0.0867, negative
151736894,127782,361894,129152,727892,0.58995,870104,0,0, negative
151768786,1265185,356057,130115,730804,0.60858,869028,0,0.0714, negative
151755118,127117,342138,119843,73198,0.58995,863648,0,0, negative
151768786,1245235,271196,129152,73702,0.5589,905612,0,0.1224, negative
151905466,136028,361894,110855,72638,0.14283,875484,0,0, negative
151766508,1321045,369078,129152,72.61,0.57132,821684,0,0, negative
151566044,1329025,344832,121127,727388,0.5589,857192,0,0, negative
152226664,1416805,381201,0.78113,71.35,0,969096,0,0, negative
151966972,147732,374915,0.29,72022,0.03105,900232,0,0, negative
151777898,1321045,281074,129152,729796,0.50922,902384,0,0.459, negative
15219705,143609,384793,0.89027,713612,0.14904,915296,0,0, negative
15190091,1348975,347975,13493,719492,0.55269,900232,0,0, negative
151848516,136427,387038,126905,719604,0.54027,832444,0,0.1632, negative
151818902,137225,0,0.55964,744524,0,1099292,0,0, negative
151663998,1293115,353812,161894,729572,0.63963,803392,0,0.1071, negative
151709558,1299765,347077,178907,72722,0.65826,818456,0,0, negative
151689056,126718,287809,170882,732092,0.73278,853964,0,0, negative
15266404,1122875,0,0.7715,732092,0,146836,0,0, negative
151850794,1319715,362792,107003,728284,0.57132,841052,0.09135,0.0867, negative
151812068,1295775,295891,142955,72918,0.60237,878712,0.1386,0, negative
151645774,1340995,355159,124979,728116,0.6831,809848,0,0, negative
151629828,127117,333158,149054,73282,0.67068,823836,0,0, negative
152725546,138023,315198,0.65915,705716,0.08073,1163852,0,0, negative
151891798,1346315,382997,125942,725484,0.57132,820608,0,0.0714, negative
151871296,1293115,365935,156116,725092,0.57753,85504,0,0.0612, negative
152176548,137491,101025,135893,72.19,0.32913,1114356,0,0, negative
15162755,1299765,357853,153869,728284,0.60858,804468,0,0, negative
151618438,1301095,35022,148091,72.89,0.60237,8.12,0,0, negative
15160477,128979,343934,144881,73.58,0.44091,827064,0,0, negative
15170728,137225,36818,181154,720612,0.63963,788328,0,0, negative
151666276,129378,360996,125942,72.75,0.5589,86042,0,0, negative
152613924,1370255,0,135893,71238,0.19251,1343544,0,0.051, negative
151689056,1333015,353812,160931,725428,0.6831,810924,0,0, negative
151645774,134432,360996,153869,723916,0.65826,803392,0,0, negative
15159338,1325035,344832,142955,73.17,0.60858,786176,0,0, negative
151743728,1219965,325076,115991,735508,0.621,889472,0,0.1224, negative
152474966,114482,0,187895,72.19,0.8073,1324176,0,0.1734, negative
151828014,1323705,390181,141029,72.33,0.55269,831368,0,0.051, negative
151789288,131905,390181,130115,72.33,0.55269,84428,0,0.1428, negative
151839404,1285135,366833,124016,725708,0.621,867952,0,0.1785, negative
15159338,1309075,3592,151943,730972,0.67068,782948,0,0, negative
15159338,1309075,352016,155153,728676,0.6831,804468,0,0.459, negative
151588824,1311735,340791,158042,732596,0.06831,8389,0,0.0969, negative
151818902,126186,276135,0.82928,738084,0.34776,942196,0,0.102, negative
151846238,130974,396916,11888,72442,0.60237,843204,0,0, negative
152080872,1378235,228092,142955,719884,0.49059,985236,0,0.0867, negative
151711836,1289125,361894,157079,729572,0.60858,810924,0,0, negative
151613882,13922,352016,124979,728788,0.3726,793708,0,0.0714, negative
151591102,12858,352016,21197,726604,0.68931,796936,0,0, negative
151841682,130176,361894,10604,723412,0.63963,913144,0,0.0765, negative
152408904,138289,290054,116954,711484,0.08073,1078848,0,0, negative
151652608,135629,356955,147128,724476,0.63963,79586,0,0, negative
15184396,1325035,375813,132041,724028,0.57753,842128,0,0, negative
151812068,134299,397814,117917,724924,0.57753,815228,0,0, negative
151632106,133368,356955,157079,728676,0.60858,789404,0,0, negative
151645774,134033,348873,151943,726492,0.67068,807696,0,0.051, negative
152222108,144274,0,0.99941,726716,0.09936,1152016,0,0.0408, negative
152739214,110226,0,0.74903,730804,0,1496336,0,0, negative
151686778,132304,353812,148091,728396,0.5589,809848,0,0, negative
151812068,1333015,384793,124979,72778,0.52164,8.12,0,0, negative
15166172,1285135,351118,143918,730076,0.6831,82276,0.5985,0.1275, negative
151572878,1485965,366833,174092,718708,0.16146,735604,0,0.0612, negative
151625272,1335675,357853,149054,72722,0.44712,820608,0,0, negative
151859906,1335675,343036,142955,722628,0.50922,86042,0,0, negative
15173006,123526,272094,162857,728676,0.70173,922828,0,0, negative
15170728,134831,347975,170882,725204,0.621,799088,0,0, negative
151805234,1299765,379854,107966,730692,0.5589,837824,0,0.0612, negative
151591102,130176,357853,15098,731196,0.68931,79586,0,0, negative
151568322,1323705,348873,147128,732484,0.37881,803392,0,0, negative
151841682,1293115,374017,110855,722796,0.63963,895928,0,0.1122, negative
153393,122994,0,0.99941,701628,0.11799,16.19,0,0.1224, negative
15277794,1263855,0,0.66878,72022,0.0621,1440384,0,0, negative
152019366,1398185,135149,162857,717588,0.39123,1056252,0,0.51, negative
151800678,137092,392875,153869,718092,0.54027,820608,0,0.0765, negative
151591102,128181,352016,190142,72862,0.68931,796936,0,0, negative
15163894,125521,347975,186932,732316,0.62721,807696,0,0.459, negative
151591102,1323705,334056,147128,730972,0.39123,821684,0,0, negative
151654886,127516,285115,143918,732708,0.57132,878712,0.11025,0.1122, negative
15167311,132969,364139,152906,725316,0.65205,803392,0,0.1479, negative
152176548,1319715,36818,115028,72.75,0.54027,851812,0,0, negative
15167311,128713,356057,164141,73142,0.65205,799088,0,0, negative
151595658,130176,356057,153869,731084,0.72036,79048,0,0, negative
151408862,1424785,308912,208118,722796,109917,707628,0,0, negative
153124196,10.73,0,210044,69.81,0.57753,1329556,3.15,0.1428, negative
151846238,1340995,388834,133004,723804,0.50922,82814,0,0, negative
152067204,135496,208785,16703,721788,0.52785,95726,0.2709,0.0867, negative
15167311,127915,352016,153869,733604,0.65826,79048,0,0, negative
151659442,12991,317892,123053,729684,0.57753,880864,0,0.1224, negative
15177562,1352965,340791,151943,720388,0.57753,878712,0,0, negative
151609326,1333015,352914,133967,726716,0.5589,83352,0,0, negative
151663998,131373,344832,176018,724812,0.60237,837824,0,0.0867, negative
152121876,140284,375813,0.5789,717924,0.11178,964792,0,0, negative
151645774,1303755,339893,125942,730076,0.52164,858268,0,0, negative
152210718,14188,378058,0.90953,713612,0.22977,91422,0,0.1887, negative
151693612,12858,357853,131078,72.61,0.60858,878712,0,0, negative
151777898,136427,365037,0.64952,73002,0.0621,8927,0,0, negative
151796122,1350305,335852,162857,71938,0.57132,880864,0,0.459, negative
151609326,1342325,339893,12209,726884,0.58995,832444,0,0, negative
15193508,136427,353812,0.74903,726492,0.16146,889472,0.1512,0.1224, negative
151768786,1364935,365935,110855,727724,0.11178,86042,0,0, negative
15183257,1333015,334056,153869,721396,0.5589,899156,0,0, negative
151670832,1323705,356955,13814,726996,0.5589,84428,0,0.051, negative
151654886,1340995,338995,127868,72638,0.52164,864724,0,0, negative
152126432,14321,390181,0.82928,715012,0,948652,0,0, negative
151643496,1215975,352016,13493,72.89,0.57132,852888,0,0, negative
15196925,1263855,0,165104,737524,0.37881,1153092,0,0, negative
151914578,1273165,184988,185969,726884,0.60237,1008908,0,0, negative
15151365,1400845,268053,3.5,698884,168291,587116,21987,0, negative
151315464,130176,0,304097,70482,6.21,695792,0,0, negative
152119598,1297105,0.32777,15098,733884,0.13041,1127268,0,0.1428, negative
15215149,1102925,171069,156116,734388,0.57753,11617,0,0, negative
15132002,1299765,0,30185,707004,6.21,692564,0,0, negative
151666276,12858,0,18308,738812,0.96876,1017516,0,0, negative
1523679,134432,0,158042,72218,0.32292,1224108,0,0, negative
152042146,133767,0,140066,722516,0.32913,1249932,0,0, negative
151994308,132703,0,176018,73.03,0.47196,1131572,0,0, negative
152058092,1285135,161191,217106,721788,0.75762,970172,0.2394,0.2601, negative
152171992,1156125,188131,156116,72862,0.47196,1141256,0,0, negative
15196925,145604,0,0.55964,73478,0,1121888,0,0, negative
151115,17.38,0,0.34136,75.41,0,664588,0,0, negative
151937358,13789,241113,11888,727612,0,976628,0,0, negative
151828014,1446065,224051,161894,723804,0,926056,0,0, negative
151853072,1408825,219112,166067,726716,0,932512,0,0, negative
151299518,144008,174212,153869,745476,0,759276,0,0, negative
151887242,1499265,0.78126,174092,72498,0,99492,0,0, negative
151905466,140018,238868,156116,723692,0,95726,0,0, negative
151916856,141481,0,209081,727388,0,1088532,0,0, negative
151613882,138821,177804,178907,730972,0,866876,0.75915,0, positive
151509094,1515225,0,225131,735004,0,83352,0.63,0, positive
152247166,1485965,22001,205871,70258,0.75762,975552,0,0, positive
151652608,1194695,0,11888,751804,270135,8927,0,0, positive
152064926,143609,0,202019,73422,0,84428,164115,0, positive
151130946,1368925,320137,181154,728116,175743,5.43,11907,0, positive
151556932,138688,0,254021,732316,0.14283,94112,0.80955,0.0051, positive
15163894,1436755,0,273923,728508,0,945424,0.53865,0, positive
152315506,134432,334056,123053,723804,0.60237,883016,0,0, positive
151545542,1414145,0,268145,733884,0.08073,906688,0.6111,0.0255, positive
15165033,1438085,0,193994,736124,0,847508,15687,0, positive
151682222,145604,0,197846,732876,0,851812,15687,0.0357, positive
151645774,1493945,0,186932,731084,0,866876,13797,0, positive
15171867,1475325,0,200093,730188,0,852888,159075,0.0408, positive
15161616,1495275,0,227057,732988,0,87118,0.67095,0, positive
151711836,142279,0,208118,733604,0,861496,16695,0, positive
152365622,1579065,183192,131078,704316,0.3105,861496,167895,0, positive
15151365,14853,0,242144,737188,0,8389,0.5607,0, positive
1516845,149195,0,19913,73.58,0,839976,159075,0, positive
151622994,142013,0,279059,734612,0.03726,904536,0.40005,0.459, positive
151531874,1438085,0,265898,730972,0.03726,907764,0.63945,0, positive
151609326,15126,0,251132,730524,0.04968,883016,0.5292,0, positive
151830292,143875,0,182117,72862,140967,647372,28791,0, positive
151602492,14853,0,237971,73282,0,875484,0.63945,0.459, positive
151727782,1470005,0,234119,73282,0,894852,0.6615,0, positive
151622994,1414145,0,288047,72.61,0.08073,918524,106155,0, positive
151837126,14321,325974,221921,712492,145935,578508,162855,0, positive
151657164,147998,0,19913,731084,0,82814,171045,0, positive
151732338,1495275,0,17987,729908,0,861496,15498,0, positive
